TICKER,RP_ENTITY_ID,COMPANY_NAME
NVDA,E09E2B,NVIDIA Corp.
AAPL,D8442A,Apple Inc.
MSFT,228D42,Microsoft Corp.
AMZN,0157B1,Amazon.com Inc.
GOOGL,4A6F00,Alphabet Inc.
META,12E454,Meta Platforms Inc.
TSLA,DD3BB1,Tesla Inc.
