RP_ENTITY_ID,COMPANY_NAME
D9C07E,Croda International PLC
DA63FE,Skandinaviska Enskilda Banken AB
DB08C7,H. Lundbeck A/S
DB5309,SGS S.A.
DB5E90,Rio Tinto PLC
736AB6,STMicroelectronics N.V.
73B0E0,Turkcell Iletisim Hizmetleri A.S.
73B927,Barclays PLC
73C21F,Bank of Cyprus Holdings PCL
74933B,ASM International N.V.
7507A6,Euronext N.V.
752C76,DKSH Holding AG
757034,Sodexo S.A.
75F982,LVMH Moet Hennessy Louis Vuitton SE
7749CF,Telecom Italia S.p.A.
77510C,Societa Italiana per il Gas S.p.A.
77579C,SpareBank 1 Sør-Norge ASA
776207,VZ Holding AG
777FE7,Sofina S.A.
7796FE,Sonova Holding AG
78798F,Qiagen N.V.
789D88,Banco Bilbao Vizcaya Argentaria S.A.
797705,Compagnie de l'Odet S.A.
79C50D,Strabag SE
7A3CB1,Bank Polska Kasa Opieki SA
7A54FE,Givaudan S.A.
7A8893,Bureau Veritas SA
7AE0C8,Fincantieri SpA
F2C97F,Alkermes PLC
F3788A,Kone Oyj
F39A6D,InPost S.A.
F4194B,Sanofi S.A.
F44439,Edenred SE
F46921,Whitbread PLC
F4D7DB,UCB S.A.
F4DA43,Elisa Oyj
268E06,Bunzl PLC
26BE9B,Holcim Ltd.
3BA4B2,Diageo PLC
3BD4B3,Knorr-Bremse AG
3BE2BD,MTU Aero Engines AG
3C7A39,Hensoldt AG
3CA8E6,Sartorius Stedim Biotech S.A.
66DZZV,Vår Energi ASA
673B19,Banca Popolare di Sondrio S.C.A.R.L.
675376,Telefonaktiebolaget LM Ericsson AB
67A658,Anglo American PLC
680882,BELIMO Holding AG
689494,Coca-Cola Icecek A.S.
222D38,Eiffage S.A.
2238CA,Genmab A/S
38FC4D,Tryg A/S
394E6A,Vodafone Group PLC
395173,Adecco Group AG
3A2757,E.ON SE
3A9314,Interpump Group S.p.A.
3AEF4F,SFS Group AG
FIZ9OC,Haleon PLC
SE3H2A,Ithaca Energy PLC
LYZCZ5,DSM-Firmenich AG
7ACDA3,Aptiv PLC
C24FAF,Deutsche Boerse AG
C283EF,L E Lundbergfoeretagen AB
C2B651,Renk Group AG
C318CA,Aberdeen Group PLC
C3484D,Janus Henderson Group PLC
C399C1,Compass Group PLC
C3AC50,PGE Polska Grupa Energetyczna SA
C3BB10,Standard Life PLC
C4073B,Eaton Corp. PLC
C4452A,National Grid PLC
OQ4A20,S.P.E.E.H. Hidroelectrica SA
C74288,Siemens AG
C77474,Erste Bank Polska SA
C79992,National Bank of Greece S.A.
C7CAD3,Associated British Foods PLC
C713AF,ACCIONA Energía
C7F68B,Trelleborg AB
C7FC95,Orange S.A.
C86C8D,UPM-Kymmene Corp.
