COMPANY_NAME,RP_COMPANY_ID
Argentina,5E1FDC
Australia,3793E9
Brazil,8C5254
Canada,C6A466
China,13FF12
France,C3FAF4
Germany,E96159
India,C4EEAD
Indonesia,00F154
Italy,847BDC
Japan,3725B9
Mexico,421256
Russia,5D90D2
Saudi Arabia,2CD40F
South Africa,92EBB2
South Korea,25B4E2
Turkey,AD1863
United Kingdom,609489
United States,3D4567
