Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-27,29.940987420229558,29.960267312843772,28.639624086878197,28.793861389160156,2097400,0.0,0.0
2020-08-28,28.78421484123221,29.063765865496638,28.726375176655015,29.00592803955078,1232300,0.0,0.0
2020-08-31,29.044486387238802,29.30475936561567,28.861332962719995,29.16016387939453,1657000,0.0,0.0
2020-09-01,29.12161017605151,29.497560724992134,29.005934498401896,29.40116310119629,1683400,0.0,0.0
2020-09-02,29.844589678912886,30.143422497367652,29.449361075028072,29.99882698059082,2180400,0.0,0.0
2020-09-03,29.218004100495854,29.237283990540305,27.17438356020331,27.3286190032959,5218800,0.0,0.0
2020-09-04,27.405742071691044,27.72385296496175,26.364651708384024,27.261146545410156,3570900,0.0,0.0
2020-09-08,26.007973125252647,26.663474606432782,25.930855412092118,25.988693237304688,3016000,0.0,0.0
2020-09-09,27.752771988171244,28.5335892779934,27.405741264413923,28.321514129638672,4736200,0.0,0.0
2020-09-10,28.938453525717097,29.09268897134847,28.157634513747794,28.340789794921875,3136500,0.0,0.0
2020-09-11,29.237284857342207,29.304762635866798,28.388989895183453,28.668540954589844,3336900,0.0,0.0
2020-09-14,30.008461682807727,30.201256909052542,29.796388404843665,29.979543685913086,3038200,0.0,0.0
2020-09-15,30.210896147204235,30.48080908990391,30.085578701488437,30.268733978271484,2909600,0.0,0.0
2020-09-16,30.70252127943648,30.78927894244705,30.018099919978766,30.056659698486328,1692400,0.0,0.0
2020-09-17,29.458997476673368,30.018101422600107,29.410799589757705,29.98918342590332,1434500,0.0,0.0
2020-09-18,30.1337796711845,30.15305956188061,29.24692492411061,29.439720153808594,2343200,0.0,0.0
2020-09-21,28.6211442698288,29.007263896713265,28.28328890586854,28.958999633789062,2131000,0.042,0.0
2020-09-22,28.872122066655038,29.142406722115368,28.42808496250262,29.12310028076172,1565300,0.0,0.0
2020-09-23,28.98796034591846,29.05553105292458,28.13849529484923,28.21571922302246,2409800,0.0,0.0
2020-09-24,28.418433623167946,29.219632580749078,28.283290365909306,28.85281753540039,1941500,0.0,0.0
2020-09-25,27.897168980080696,28.29294182354223,27.800638614102947,28.177106857299805,2679800,0.0,0.0
2020-09-28,28.920386871958183,29.229284415926458,28.727327978287086,29.21963119506836,1668700,0.0,0.0
2020-09-29,29.325810332581256,29.760196026723133,29.27754607374925,29.538177490234375,1375000,0.0,0.0
2020-09-30,29.3644238906072,29.933950995559936,29.316159630660763,29.62505531311035,1391000,0.0,0.0
2020-10-01,31.768024097917166,32.14449052350115,31.536350468612262,32.057613372802734,4872500,0.0,0.0
2020-10-02,31.217801629403013,31.53634870930827,31.092311600433202,31.111618041992188,2172400,0.0,0.0
2020-10-05,31.632874650487246,32.16378880003765,31.58461039731475,32.09621810913086,1767600,0.0,0.0
2020-10-06,31.768017810604437,32.16379060049575,31.3529385818981,31.430164337158203,2538000,0.0,0.0
2020-10-07,31.99970003513823,32.26032782370332,31.84525216523818,32.16379928588867,1963900,0.0,0.0
2020-10-08,32.22171948795264,32.4823509658824,32.17345521774219,32.366512298583984,1839800,0.0,0.0
2020-10-09,33.10013886648991,33.737236738112024,33.10013886648991,33.68897247314453,4097300,0.0,0.0
2020-10-12,33.93995027360713,34.113704580587026,33.6793188131373,33.85307312011719,3966000,0.0,0.0
2020-10-13,33.853072954064,34.00752081702992,33.60209655761719,33.60209655761719,3871200,0.0,0.0
2020-10-14,33.85307625713045,33.920646973625495,33.21597829994301,33.370426177978516,1940100,0.0,0.0
2020-10-15,32.501647696442845,33.17735840097396,32.4147742355827,33.0615234375,2793600,0.0,0.0
2020-10-16,33.54418035767872,33.64070890016536,33.04222383562692,33.119449615478516,1356100,0.0,0.0
2020-10-19,33.3800743871388,33.58278649499743,32.86846290431311,33.05187225341797,1910600,0.0,0.0
2020-10-20,33.44765274790344,33.717935620265344,33.24493691130406,33.31250762939453,2441900,0.0,0.0
2020-10-21,33.1773594394389,33.669664493685,32.88777018052619,32.98429870605469,4294800,0.0,0.0
2020-10-22,33.48626086300864,33.59244446863399,32.530615777036125,32.59818649291992,2720800,0.0,0.0
2020-10-23,32.72367314558889,32.955343095327336,32.424428804655314,32.82985305786133,1674000,0.0,0.0
2020-10-26,32.4919998527069,32.68506060105594,31.67149627513285,32.00934982299805,2449900,0.0,0.0
2020-10-27,31.74871592707,31.951428040222712,30.68688741618007,30.706192016601562,3322300,0.0,0.0
2020-10-28,29.644364955363333,29.711937508412394,29.15206352843828,29.403039932250977,4352800,0.0,0.0
2020-10-29,29.528528237014193,30.262156485027653,29.335467493424023,30.0594425201416,3454800,0.0,0.0
2020-10-30,29.798811681324374,29.85672916554824,29.11344772688136,29.480262756347656,1699200,0.0,0.0
2020-11-02,30.011178840283385,30.339381006091013,29.63471240821853,30.020832061767578,1448200,0.0,0.0
2020-11-03,30.70619690424385,31.179193751386144,30.63862618910408,31.034400939941406,1692800,0.0,0.0
