Scenario,Median 10Y Return (%),Mean 10Y Return (%),5th Percentile (%),95th Percentile (%),P/E Multiple,EV/EBITDA Multiple
National Champion,,,,,-7.2271690629932985,112.62128189733795
Policy Tool,,,,,-3.8915525723810065,60.6422287139512
