Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-08-27,97.99302458588515,97.99302458588515,95.84269806953245,96.45525360107422,1660200,0.0,0.0,0.0
2020-08-28,96.57329518465777,98.27377452256746,96.40420457419688,98.23548889160156,1711200,0.0,0.0,0.0
2020-08-31,98.16847791382884,98.83846541399969,97.38683191549327,98.01534271240234,1013400,0.0,0.0,0.0
2020-09-01,98.80020552417558,100.02850774183536,98.28655147121395,99.96150970458984,1414200,0.0,0.0,0.0
2020-09-02,101.53757672537608,103.45181490063695,100.5676933237413,102.8583984375,2971800,0.0,0.0,0.0
2020-09-03,101.2057508530684,101.4322735697255,96.44568495670907,97.1220474243164,3921000,0.0,0.0,0.0
2020-09-04,96.47440277143025,97.76970298184405,92.68739635133322,96.11388397216797,3466800,0.0,0.0,0.0
2020-09-08,92.66189143670911,94.36237123596057,91.4878300782598,91.621826171875,3036000,0.0,0.0,0.0
2020-09-09,93.94441751559701,94.90153646594959,92.70973319337361,94.11669921875,1914600,0.0,0.0,0.0
2020-09-10,95.38968522597065,95.67044174461866,92.29500326991307,92.84056091308594,1914000,0.0,0.0,0.0
2020-09-11,93.48819681339813,94.45488908607207,91.8036652624714,92.81502532958984,1524300,0.0,0.0,0.0
2020-09-14,94.67501267224574,95.26523796558065,93.94441645777239,94.67182159423828,1155600,0.0,0.0,0.0
2020-09-15,95.96713185417303,96.96891131031012,95.80122500194518,96.30531311035156,1259700,0.0,0.0,0.0
2020-09-16,96.99761575776762,97.11247265322207,95.25565967234867,95.40242004394531,1217400,0.0,0.0,0.0
2020-09-17,92.97132199445257,95.50768809550374,92.64590513054291,95.35454559326172,1714800,0.0,0.0,0.0
2020-09-18,95.79165877305606,96.03412959220901,92.63954542630572,93.86146545410156,1210800,0.0,0.0,0.0
2020-09-21,92.09396576154485,93.69235229492188,91.30274653704396,93.69235229492188,2331600,0.0,0.0,0.0
2020-09-22,94.29217919759861,94.78987787678828,92.64912438725736,94.65907287597656,1096200,0.0,0.0,0.0
2020-09-23,94.68435800675536,95.19346416803623,92.13241463786007,92.47502136230469,1896000,0.356333,0.0,0.0
2020-09-24,91.70976013825441,94.55307555495999,91.64251984331565,93.25629425048828,2350500,0.0,0.0,0.0
2020-09-25,93.41959971609555,94.83485598631908,92.02035653121811,94.53707122802734,1614300,0.0,0.0,0.0
2020-09-28,95.87867601368472,97.23629974970831,95.25750025637775,97.1402359008789,1836000,0.0,0.0,0.0
2020-09-29,97.22350339239705,98.28013992508691,97.07621230954864,97.36759185791016,1915500,0.0,0.0,0.0
2020-09-30,97.3035433832893,98.49466039746203,96.96413926980574,97.5340805053711,1947600,0.0,0.0,0.0
2020-10-01,98.85968818912802,99.81066765579868,98.40501913260725,99.62174987792969,2045400,0.0,0.0,0.0
2020-10-02,97.04739569919835,98.64836724291362,96.49986539532425,96.63434600830078,2008500,0.0,0.0,0.0
2020-10-05,97.5148613566013,99.7434061668492,97.38357606084455,99.65374755859375,1540200,0.0,0.0,0.0
2020-10-06,99.73381373861334,101.56851760257199,98.77323380413524,99.17987823486328,1888800,0.0,0.0,0.0
2020-10-07,100.5919181463659,101.38920114175878,100.57590506294892,101.07861328125,1249200,0.0,0.0,0.0
2020-10-08,102.00398799734916,102.53870781100274,101.6837922354104,102.33058166503906,979800,0.0,0.0,0.0
2020-10-09,103.80986256707698,104.42143045893626,103.41602864527293,104.13005828857422,1967400,0.0,0.0,0.0
2020-10-12,105.50688030579774,106.21770726454304,104.98176113147612,105.67658233642578,1591500,0.0,0.0,0.0
2020-10-13,105.85589885742691,106.38742333486755,105.01059120922092,105.48767852783203,2298900,0.0,0.0,0.0
2020-10-14,105.92635235003085,106.24975073246418,104.46307140761488,105.06183624267578,1562400,0.0,0.0,0.0
2020-10-15,103.1022400581827,104.98497569172065,102.8877087009651,104.7800521850586,1207200,0.0,0.0,0.0
2020-10-16,105.5037066864252,105.6958197566251,104.1973172888631,104.28056335449219,865800,0.0,0.0,0.0
2020-10-19,105.13547494588892,105.75665077582791,103.3584034643989,103.75544738769531,1208700,0.0,0.0,0.0
2020-10-20,104.22290533259074,104.50467696267856,103.34237631720838,103.58572387695312,1048800,0.0,0.0,0.0
2020-10-21,103.83229450076318,104.04042066242268,102.80767677965984,102.89093017578125,1074300,0.0,0.0,0.0
2020-10-22,103.01898956504974,103.46726066451882,101.68378411746734,102.93254089355469,905100,0.0,0.0,0.0
2020-10-23,102.53870564465161,102.57072448730469,101.60053669903725,102.57072448730469,786000,0.0,0.0,0.0
2020-10-26,101.69340044665965,102.05841819336463,99.03899508625737,100.34858703613281,1671300,0.0,0.0,0.0
2020-10-27,101.04339734616097,101.28994754375493,99.60893279661413,99.9547348022461,890100,0.0,0.0,0.0
2020-10-28,98.37938594650728,98.37938594650728,96.52226388665856,96.68236541748047,1481100,0.0,0.0,0.0
2020-10-29,96.69837664156249,100.16927337303736,96.56389603839877,99.13504791259766,1504500,0.0,0.0,0.0
