date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Preferred Stock Dividends,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Total Revenue,Operating Revenue,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross
2024-12-31,181804000.0,0.302,602000000.0,602000000.0,2222000000.0,3597000000.0,4332000000.0,-462000000.0,462000000.0,261000000.0,1801804000.0,-1404000000.0,23404000000.0,657283160.0,651448307.0,-2.19,-2.19,-1426000000.0,-1426000000.0,22000000.0,-1404000000.0,-478000000.0,-926000000.0,-3626000000.0,2700000000.0,1170000000.0,3870000000.0,169000000.0,602000000.0,-602000000.0,-462000000.0,462000000.0,23000000.0,5529000000.0,5529000000.0,5529000000.0,27270000000.0,27270000000.0,14567000000.0,14567000000.0,
2023-12-31,352000.0,0.044,8000000.0,8000000.0,2506000000.0,3841000000.0,3383000000.0,-516000000.0,516000000.0,321000000.0,2498352000.0,3643000000.0,25096000000.0,725200000.0,719500000.0,4.98,5.02,3614000000.0,3614000000.0,29000000.0,3643000000.0,-235000000.0,3878000000.0,1137000000.0,2741000000.0,126000000.0,2867000000.0,6000000.0,8000000.0,-8000000.0,-516000000.0,516000000.0,25000000.0,5399000000.0,5399000000.0,5399000000.0,27959000000.0,27959000000.0,15393000000.0,15393000000.0,24755000000.0
2022-12-31,-106704000.0,0.234,-456000000.0,-456000000.0,1844000000.0,3861000000.0,4375000000.0,-603000000.0,603000000.0,291000000.0,2193296000.0,10227000000.0,26208000000.0,787941750.0,778621118.0,12.94,13.1,10198000000.0,10198000000.0,29000000.0,10227000000.0,-1046000000.0,11273000000.0,8383000000.0,2890000000.0,882000000.0,3772000000.0,34000000.0,-456000000.0,456000000.0,-603000000.0,603000000.0,-16000000.0,6159000000.0,6159000000.0,6159000000.0,29975000000.0,29975000000.0,15461000000.0,15461000000.0,22771000000.0
2021-12-31,485865000.0,0.183,2655000000.0,2655000000.0,10367000000.0,4542000000.0,14652000000.0,-1305000000.0,1305000000.0,1740000000.0,8197865000.0,10367000000.0,38638000000.0,864884879.0,854320449.0,11.95,12.1,10338000000.0,10338000000.0,29000000.0,10367000000.0,-539000000.0,10906000000.0,0.0,10906000000.0,2441000000.0,13347000000.0,984000000.0,2655000000.0,-2655000000.0,-1305000000.0,1305000000.0,-619000000.0,8728000000.0,8728000000.0,8728000000.0,51985000000.0,51985000000.0,23785000000.0,23785000000.0,23785000000.0
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24806000000.0
