Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-27,44.68639196451254,44.81204104034278,44.129941166292156,44.336368560791016,24420600,0.0,0.0
2020-08-28,44.48894350731696,45.59286484049162,44.39021825071358,45.26079177856445,35384700,0.0,0.0
2020-08-31,45.7723674714667,46.221116172167356,45.16206896461934,45.72749328613281,46114100,0.0,0.0
2020-09-01,45.691587725691235,45.77236262020352,45.07231581688406,45.58388900756836,30472800,0.0,0.0
2020-09-02,45.960839433104816,47.280161660776756,45.85314070748285,46.89423751831055,53000700,0.0,0.0
2020-09-03,47.11861562446724,47.22631435869248,45.000521117178415,45.22489547729492,47394300,0.0,0.0
2020-09-04,45.350537766192176,45.97878656498406,44.41714317016363,44.9466667175293,43318400,0.0,0.0
2020-09-08,44.21071386046194,44.785114987161485,43.84274011798525,43.89659118652344,39752700,0.0,0.0
2020-09-09,44.45304620105709,44.84794725775943,44.01327438168707,44.53382110595703,33437300,0.0,0.0
2020-09-10,44.87486530518747,44.955640199684034,43.71709295863031,43.94146728515625,32649100,0.0,0.0
2020-09-11,44.21072548138745,44.91974933028102,43.93250344667622,44.228675842285156,29333600,0.0,0.0
2020-09-14,43.842744787940134,44.623569958352576,43.842744787940134,44.34534454345703,27212500,0.0,0.0
2020-09-15,44.68639286803955,45.41336351395061,44.63254179573182,44.8748664855957,27598300,0.0,0.0
2020-09-16,45.33259260137631,45.79929166468394,45.02744334550905,45.20694351196289,26531400,0.0,0.0
2020-09-17,44.309440483870866,45.314639919056546,44.246615947131815,45.16206359863281,26959900,0.0,0.0
2020-09-18,45.17104314442909,45.32361605014205,44.01327074443517,44.77614212036133,50123500,0.0,0.0
2020-09-21,44.32738992927845,44.65048949653976,43.82479364569899,44.623565673828125,27377100,0.0,0.0
2020-09-22,44.776146937187654,45.063345845397656,44.39919965404243,44.82999801635742,22290900,0.0,0.0
2020-09-23,44.72229688859122,45.00949578143308,43.672223154897424,43.81582260131836,30078800,0.0,0.0
2020-09-24,43.55554736376475,44.55177001725883,43.45682210279783,44.1209716796875,29343400,0.0,0.0
2020-09-25,43.94146745182085,45.12616362647677,43.75299383850753,44.821014404296875,26633400,0.0,0.0
2020-09-28,45.33259898003382,46.1852223228998,45.0184762123007,46.15829849243164,29652200,0.0,0.0
2020-09-29,46.05058849545989,46.436512615058135,45.72748891405852,45.94288635253906,19558200,0.0,0.0
2020-09-30,45.98776236305691,47.01090871957262,45.9069874705067,46.472408294677734,27711300,0.0,0.0
2020-10-01,47.028864796377476,47.31606368844884,46.660891001930985,46.8852653503418,22127600,0.0,0.0
2020-10-02,46.22111294039433,46.65191125210389,45.76339080410311,45.78133773803711,25811800,0.0,0.0
2020-10-05,46.0416162687265,46.49934186330293,46.014692442109386,46.391639709472656,20883200,0.0,0.0
2020-10-06,46.40958802344949,47.298111923152355,45.9787896981538,46.10443878173828,25642800,0.0,0.0
2020-10-07,46.53523547275499,47.47761041390468,46.48138782378459,47.271183013916016,21978700,0.0,0.0
2020-10-08,47.48659273578002,48.087917842964956,47.27119182869017,47.89944076538086,22369500,0.0,0.0
2020-10-09,48.06098011856894,48.33022862600822,47.27118152955729,47.40580749511719,24343900,0.0,0.0
2020-10-12,48.06098288905598,48.644357541870285,47.75583365005293,48.35715866088867,27303500,0.0,0.0
2020-10-13,48.70718784378513,48.72513820392959,48.12381312197412,48.31229019165039,20005800,0.0,0.0
2020-10-14,48.47382970415886,48.82385654176372,48.02508103529589,48.06098175048828,21874200,0.0,0.0
2020-10-15,47.3429812649834,48.44690250259539,47.22630566058137,48.33022689819336,18272900,0.0,0.0
2020-10-16,48.3751116530327,49.093108894583125,48.3751116530327,48.60845947265625,23414400,0.0,0.0
2020-10-19,48.88667590907129,50.46626954992109,48.32125168749789,48.98540115356445,43537200,0.0,0.0
2020-10-20,49.00335160875467,49.09310339369234,47.809681970368146,47.95328140258789,27224900,0.0,0.0
2020-10-21,47.69300986440944,48.527682695386034,47.40581097887779,48.016109466552734,21866000,0.0,0.0
2020-10-22,47.675056575353864,48.662305679399985,47.63018239418826,48.37510681152344,41522700,0.0,0.0
2020-10-23,43.393995258715286,43.681194135203874,42.774723323226894,43.25937271118164,97322500,0.0,0.0
2020-10-26,42.94524946727885,42.954226358591725,41.50925498850039,41.93107986450195,54161300,0.0,0.0
2020-10-27,41.2669259561389,41.652850073830685,40.71047858185236,40.96177673339844,50130500,0.0,0.0
2020-10-28,40.28865402184774,40.64765431820468,39.66938210549662,39.714256286621094,45066000,0.0,0.0
2020-10-29,39.70529105153766,39.91171506645036,39.41808870070121,39.58861541748047,36796800,0.0,0.0
2020-10-30,39.57963062767173,40.20787943934665,39.13985885607571,39.741180419921875,46781300,0.0,0.0
2020-11-02,40.351477683277935,40.441229467257045,39.70528195703075,39.90272903442383,33856700,0.0,0.0
2020-11-03,40.14505929406316,40.800232001588995,40.118135466968425,40.25275802612305,34349500,0.0,0.0
2020-11-04,40.486105251126915,41.41950329940019,40.18992948778456,41.015628814697266,34748200,0.0,0.0
2020-11-05,41.720764685486124,41.92869006928119,41.16026657412639,41.29587173461914,31103200,0.33,0.0
2020-11-06,41.16931566297494,41.40436073886106,40.59073998517859,41.03371047973633,36233700,0.0,0.0
2020-11-09,42.16373595101595,42.80559303323994,41.16930958274168,41.223548889160156,48481700,0.0,0.0
2020-11-10,41.04274862307498,42.0190941210704,40.90714345318933,41.07890701293945,39224500,0.0,0.0
2020-11-11,41.49476831417953,42.00102034419859,41.45860646958294,41.90157699584961,31496900,0.0,0.0
2020-11-12,41.70269075060794,41.7569300650214,40.274329028947136,40.63594055175781,42881300,0.0,0.0
2020-11-13,40.672099138552646,41.205474195288886,40.65401821900092,41.096988677978516,30884700,0.0,0.0
2020-11-16,41.62132576397905,42.263182901236334,41.395319438303986,41.756927490234375,36306300,0.0,0.0
2020-11-17,41.35916119304095,41.69364961850707,41.05179242546628,41.160274505615234,31118000,0.0,0.0
2020-11-18,41.1783486986155,41.304911679539686,40.71729734687989,40.73537826538086,32817900,0.0,0.0
2020-11-19,40.608819707721075,41.28683876431682,40.409936462822934,41.24163818359375,29469100,0.0,0.0
2020-11-20,41.27779774041599,41.476684422877135,40.97947116530734,41.03371047973633,24199300,0.0,0.0
2020-11-23,41.11506422938537,41.775002188236826,41.08794457789002,41.639400482177734,35489600,0.0,0.0
2020-11-24,41.847330320382994,42.76039432013018,41.594200901292695,42.498226165771484,33901200,0.0,0.0
2020-11-25,42.516308576095945,42.65191374995702,42.100457767510115,42.53438949584961,28126900,0.0,0.0
2020-11-27,42.81463749590573,43.48361426695147,42.81463749590573,42.895999908447266,15921400,0.0,0.0
