Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-27,28.69004170376628,29.310366330210996,28.61250112546069,28.77727508544922,8745400,0.0,0.0
2020-08-28,28.942054358741608,29.300678905975303,28.7288163427192,29.097135543823242,9180200,0.0,0.0
2020-08-31,29.09713391812416,29.26190789915643,28.699738172466358,28.7191219329834,9585200,0.0,0.0
2020-09-01,28.622199155280477,28.932361525138795,28.43803955490952,28.87420654296875,9007100,0.0,0.0
2020-09-02,28.932360480871633,30.13424054504946,28.883896456884532,30.008235931396484,16246200,0.0,0.0
2020-09-03,29.97916156121779,30.55102414515109,28.2344953928961,28.5737361907959,22358100,0.0,0.0
2020-09-04,29.009901466524752,29.43637563986522,28.457424526524846,29.077749252319336,13822000,0.0,0.0
2020-09-08,30.74487038697913,32.30537857742423,30.095467298995736,31.38458251953125,52000000,0.0,0.0
2020-09-09,31.122885137838157,31.743209868878292,30.754565942247936,30.967803955078125,22375200,0.0,0.0
2020-09-10,30.841801041676355,30.899956026244215,29.213446684067264,29.242525100708008,24845100,0.0,0.0
2020-09-11,29.36853176421581,29.63023200249458,28.951752162792506,29.52361297607422,13638700,0.0,0.0
2020-09-14,29.77561392035807,30.58979102958821,29.601148981563153,30.221473693847656,11972100,0.0,0.0
2020-09-15,30.39594426621814,32.12122304926717,29.882236644445438,30.609180450439453,21096300,0.0,0.0
2020-09-16,31.675360520082503,31.78197952123848,30.76425722977349,30.812721252441406,16397800,0.0,0.0
2020-09-17,30.347478243537264,30.967804841037882,29.99854649670134,30.9387264251709,11459900,0.0,0.0
2020-09-18,30.870879903298505,31.06473047089013,30.395943516935592,30.531639099121094,15039900,0.0,0.0
2020-09-21,29.368526005357126,29.484837815800347,28.263572125357314,29.077749252319336,20577900,0.0,0.0
2020-09-22,28.93235741140611,29.426679311350476,28.42834270769264,28.534961700439453,11106800,0.0,0.0
2020-09-23,28.583430077693905,29.068059279110308,28.302346102203508,28.43804168701172,10899600,0.0,0.0
2020-09-24,28.1569539475207,28.680354336830348,27.371855212269793,28.215110778808594,12393700,0.0,0.0
2020-09-25,27.972796321389914,28.321728067131232,27.682017709772982,28.108491897583008,9350400,0.0,0.0
2020-09-28,28.90327900009881,29.11651698559243,28.47680487782485,28.534961700439453,8395700,0.0,0.0
2020-09-29,28.370194911623653,28.496197695074848,27.623865470996652,27.856487274169922,7419900,0.0,0.0
2020-09-30,28.001873479312415,28.903284051532268,28.001873479312415,28.680355072021484,11522000,0.0,0.0
2020-10-01,28.612506887585294,29.572072430626353,28.253880485254268,29.446067810058594,15052900,0.0,0.0
2020-10-02,28.73851410995179,29.95008723304178,28.680359117683356,29.52361297607422,9474000,0.0,0.0
2020-10-05,29.901618776051833,30.328092943570898,29.853154752064732,30.008235931396484,8314100,0.0,0.0
2020-10-06,30.30870577369547,30.48317255364058,29.36852409259424,29.465450286865234,10293700,0.0,0.0
2020-10-07,29.901617999796322,30.78364287761558,29.862846781613158,30.647947311401367,11794500,0.0,0.0
2020-10-08,30.919342804743955,31.636593803873865,30.822416594328846,31.219812393188477,17323300,0.0,0.0
2020-10-09,31.30704414998857,31.675363360438467,31.035652993566117,31.171348571777344,9411700,0.0,0.0
2020-10-12,31.36520263316799,31.665670372898813,31.132578988686245,31.219812393188477,6932600,0.0,0.0
2020-10-13,31.14227190463258,31.287658439067737,30.5025596910936,30.8902645111084,7842100,0.0,0.0
2020-10-14,31.093810677704788,31.24889187096949,30.56071745823293,30.696413040161133,8006200,0.0,0.0
2020-10-15,30.03731353600808,31.685051484164703,29.998544166577073,31.58812713623047,11829800,0.0,0.0
2020-10-16,31.869222441330457,32.4410851387887,31.675369990129226,32.42169952392578,11947300,0.0,0.0
2020-10-19,32.4701621458022,32.82878678198345,32.03399504913418,32.324771881103516,10527300,0.0,0.0
2020-10-20,32.91600576304972,35.25191774788356,32.73184804631457,34.50558853149414,38660900,0.0,0.0
2020-10-21,34.99022534567707,35.16469214641409,34.050047249957814,34.670372009277344,23277900,0.0,0.0
2020-10-22,34.79637415154402,36.27933815469155,34.776988542018486,36.259952545166016,23288900,0.0,0.0
2020-10-23,36.33749474425529,36.860891408294286,35.649318551619594,35.697784423828125,16296300,0.0,0.0
2020-10-26,35.15499705923895,35.31007823084801,34.11789103083579,34.71883010864258,15448100,0.0,0.0
2020-10-27,34.4571273925791,34.74790410568506,33.681721591821045,33.81741714477539,11168600,0.0,0.0
2020-10-28,32.693085275991244,33.56541931196528,32.51861846879644,33.04201889038086,15010800,0.0,0.0
2020-10-29,33.44909800288037,34.563746383450805,33.303711495040645,33.81741714477539,14230400,0.0,0.0
2020-10-30,33.40063519600939,33.95311204959233,32.91600611760847,33.468482971191406,13074000,0.0,0.0
2020-11-02,34.0403577604683,34.29236704306927,33.32310853521767,33.48788070678711,14648400,0.0,0.0
2020-11-03,34.02096438946911,34.88360737060436,33.81742103661304,34.26327896118164,11439100,0.0,0.0
2020-11-04,34.224513590551126,34.67037154313914,33.17771280020309,34.15666580200195,14740600,0.0,0.0
2020-11-05,35.76563294593043,36.104871873827804,34.25358865852996,35.998252868652344,35075000,0.0,0.0
2020-11-06,36.34718798689055,36.96751273694514,35.87224977032723,36.318111419677734,18089200,0.0,0.0
2020-11-09,37.52967868654717,38.49893688653092,37.44244530065157,37.762298583984375,22100800,0.0,0.0
2020-11-10,38.528019474827275,40.311454989609445,38.34386171910314,39.817134857177734,26746900,0.0,0.0
2020-11-11,40.020679979653934,40.48592356512929,38.87695477882511,39.3131217956543,19841100,0.0,0.0
2020-11-12,38.87695152693619,39.00295614290874,37.61691645949185,38.111236572265625,20239900,0.0,0.0
2020-11-13,38.46986056743422,40.04975263054366,38.38262717260175,39.92374801635742,15004300,0.0,0.0
2020-11-16,40.4859243206985,40.854243552608835,39.662052451883994,40.83485794067383,16692100,0.0,0.0
2020-11-17,40.563459949923164,41.23225056922603,39.87528741760401,40.6894645690918,16088200,0.0,0.0
2020-11-18,40.893005984358176,42.77336943608563,40.76700506861968,41.406715393066406,27632500,0.0,0.0
2020-11-19,41.30009966592293,41.862267596889346,40.883318271748934,41.50364303588867,17214500,0.0,0.0
2020-11-20,41.49395181871512,41.98827195659129,41.06747577297458,41.716880798339844,16881200,0.0,0.0
2020-11-23,42.60859525376624,43.771705988005486,42.22089414063788,43.39369583129883,22569600,0.0,0.0
2020-11-24,44.49865074243159,45.27405668367504,43.68447357976918,45.031742095947266,20048700,0.0,0.0
2020-11-25,44.20786349425234,44.64403038822562,43.267681933623955,44.06247329711914,16122300,0.0,0.0
2020-11-27,43.955863905734084,44.188487532432866,43.3743103851278,43.674781799316406,7528800,0.0,0.0
2020-11-30,43.577851098709566,43.926784668834195,42.2790448640384,42.49228286743164,21600500,0.0,0.0
2020-12-01,43.40338568569288,44.05279067227057,42.64736539147519,43.306461334228516,12984400,0.0,0.0
2020-12-02,42.64736967307242,43.22892323509791,42.32751262575923,43.20954132080078,11280700,0.0,0.0
2020-12-03,43.41307776473649,43.49061650182425,42.60859164506867,42.734596252441406,13437800,0.0,0.0
2020-12-04,43.035072326660156,43.36462031438189,42.77337212781403,43.035072326660156,11895200,0.0,0.0
2020-12-07,43.03507122697613,43.03507122697613,42.24027969409092,42.947837829589844,9207500,0.0,0.0
2020-12-08,42.37597916314125,42.82183714746004,42.08519868017668,42.45351791381836,10160400,0.0,0.0
2020-12-09,42.77337118935627,43.180457913678325,42.560133173324466,43.06414794921875,12470500,0.0,0.0
2020-12-10,42.482595787656734,42.531057966278624,41.1547091693681,41.55210494995117,18235600,0.0,0.0
2020-12-11,41.17409553307692,41.36794794853587,40.34053273480257,40.631309509277344,15555600,0.0,0.0
2020-12-14,41.18379169367844,41.232253874958786,40.146681787656235,40.34053421020508,9995700,0.0,0.0
2020-12-15,40.69915616596842,40.86392829622013,40.040060250107864,40.37929916381836,12510300,0.0,0.0
2020-12-16,40.50530717479962,40.582845919832955,39.555434439221465,40.14667892456055,15134100,0.0,0.0
2020-12-17,40.42776411291882,40.7379264831543,40.156372963319555,40.7379264831543,12081600,0.0,0.0
2020-12-18,40.72823582940498,40.757312396384684,39.34219610948966,39.74928283691406,21808300,0.0,0.0
2020-12-21,39.022338168339964,40.22422010683374,38.828489463116135,39.94313430786133,15533900,0.0,0.0
2020-12-22,40.078832995818026,40.12729887331828,39.30342702236924,39.642669677734375,10559000,0.0,0.0
2020-12-23,39.91406092818202,41.57149189318856,39.83651848196009,41.14501953125,17573100,0.0,0.0
2020-12-24,40.76700516448649,40.90270073401747,39.94313339637741,40.301761627197266,7825400,0.0,0.0
2020-12-28,40.70884712174863,40.89300486098764,40.350222599050845,40.37929916381836,10471400,0.0,0.0
2020-12-29,40.60223085124452,40.83485447730747,40.09821607596403,40.29206848144531,7987700,0.0,0.0
2020-12-30,40.369610408681105,40.90270174389775,40.29206796850491,40.553768157958984,6491900,0.0,0.0
2020-12-31,40.476226652535,40.514997873518475,39.93344434847492,40.35991668701172,11101300,0.0,0.0
2021-01-04,40.66039447633809,40.825166645202465,38.90603527485403,39.2646598815918,15768100,0.0,0.0
2021-01-05,38.82848741910344,40.55376594727714,38.80910181011615,40.37929916381836,18045800,0.0,0.0
2021-01-06,40.631306779130135,42.501975622372235,40.573153646599046,41.658721923828125,22694900,0.0,0.0
2021-01-07,42.62798014432515,42.62798014432515,41.63933622178496,41.9882698059082,13625700,0.0,0.0
2021-01-08,41.97858168435588,42.1530484881988,41.01901426321983,41.73626708984375,18426200,0.0,0.0
2021-01-11,41.697486760657185,43.88800858977148,41.31947666736358,43.62630844116211,25864100,0.0,0.0
2021-01-12,44.87666050055763,47.44519658614003,44.246644796637504,46.34993362426758,63889300,0.0,0.0
2021-01-13,49.218935256044155,49.403096699267294,46.58255519615743,47.231956481933594,49229700,0.0,0.0
2021-01-14,47.97829131466034,50.27543271202198,47.81351915965798,49.945884704589844,36839800,0.0,0.0
2021-01-15,49.722949492495836,49.81987753986425,47.74566169530359,48.433837890625,25293700,0.0,0.0
2021-01-19,52.03947295717823,53.444898127990925,50.65343339462679,53.15412139892578,64144000,0.0,0.0
2021-01-20,54.5013972330994,54.860021791638246,53.16381965871305,54.14277267456055,47428500,0.0,0.0
2021-01-21,54.598322150040296,55.21864687427261,53.07658320803496,53.386749267578125,39843100,0.0,0.0
2021-01-22,52.82458442179589,54.055543071279494,52.60165542664291,53.69691848754883,23895600,0.0,0.0
2021-01-25,53.260743442260235,53.46428679450621,49.451558090562436,51.74869918823242,39844200,0.0,0.0
2021-01-26,51.74870189311072,51.94255429951766,50.21727564709283,50.44020462036133,21648200,0.0,0.0
2021-01-27,49.23832418009781,49.29648101304514,47.21257405027299,47.82320785522461,38315200,0.0,0.0
2021-01-28,48.3466114511071,51.370696712887984,48.03644904976688,49.470951080322266,37573400,0.0,0.0
2021-01-29,49.14139488637891,50.18819189228983,48.42414214178523,49.12200927734375,26466800,0.0,0.0
2021-02-01,49.87803242171678,50.35297062692629,48.88938848841649,49.92649459838867,21451300,0.0,0.0
2021-02-02,50.692209962910894,51.351305923669294,50.36266198253169,51.099300384521484,20457400,0.0,0.0
2021-02-03,51.6614640536364,53.35766599337305,51.55484505440752,52.58226013183594,30706500,0.0,0.0
2021-02-04,51.70023886774306,52.88273519974259,51.34161432510094,52.4659538269043,19243300,0.0,0.0
2021-02-05,53.13474242457365,53.35767140127066,52.48534110516419,52.73734664916992,17250200,0.0,0.0
