TICKER,RP_COMPANY_ID,COMPANY_NAME
AAPL,D8442A,Apple Inc.
MSFT,228D42,Microsoft Corp.
GOOGL,4A6F00,Alphabet Inc.
AMZN,0157B1,Amazon.com Inc.
META,12E454,Meta Platforms Inc.
NVDA,E09E2B,NVIDIA Corp.
TSLA,DD3BB1,Tesla Inc.
