RP_COMPANY_ID,COMPANY_NAME,COUNTRY,SECTOR
G1RXK6,Tyra Biosciences Inc.,United States,Health Care
A15C71,PGT Innovations Inc.,United States,Industrials
94D329,Baidu Inc.,Hong Kong SAR,Technology
2D84AA,Astral Ltd.,India,Industrials
5CD37A,Lerøy Seafood Group ASA,Norway,Consumer Goods
C3EE99,TechTarget Holdings Inc.,United States,Consumer Services
EFDE39,Befar Group Co. Ltd.,China,Basic Materials
00FC70,Brady Corp.,United States,Industrials
20B560,Ono Pharmaceutical Co. Ltd.,Japan,Health Care
F95A72,Beijing Easpring Material Tech Co. Ltd.,China,Technology
2945AF,Intouch Holdings PCL,Thailand,Telecommunications
B49AB7,Thales S.A.,France,Industrials
935049,Jianshe Industry Group (Yunnan) Co. Ltd.,China,Consumer Goods
30B7E3,Agilon Health Inc.,United States,Health Care
AACE7A,ARB Corp. Ltd.,Australia,Consumer Services
365B30,C3.ai Inc.,United States,Technology
0E5022,Huachuang Yunxin Digital Technology Co. Ltd.,China,Financials
5D1D08,Templeton Dragon Fund Inc.,United States,Financials
A7CCD2,Dentalcorp Holdings Ltd.,Canada,Health Care
34A959,Caesars Entertainment Inc.,United States,Consumer Services
85BEAC,Herald Investment Trust PLC,United Kingdom,Financials
224DDA,Justsystems Corp.,Japan,Technology
A072C4,Codexis Inc.,United States,Health Care
1957B1,Hubei Jiuzhiyang Infrared Sys Co. Ltd.,China,Industrials
87787E,Gerresheimer AG,Germany,Industrials
E6D4C5,Cheng Fei Integration,China,Consumer Goods
BF6A03,Alumina Ltd.,Australia,Basic Materials
0012C7,Rongan Property Co. Ltd.,China,Real Estate
AFEBDE,Alps Alpine Co. Ltd.,Japan,Industrials
D60BB2,Jack Henry & Associates Inc.,United States,Industrials
CCDECF,T. Hasegawa Co. Ltd.,Japan,Basic Materials
019DE1,TCL Electronics Holdings Ltd.,Hong Kong SAR,Industrials
CC23AC,K92 Mining Inc.,Canada,Basic Materials
305625,Fletcher Building Ltd.,New Zealand,Industrials
58A62D,Royalty Pharma PLC,United Kingdom,Health Care
DB23C8,Dauch Corp.,United States,Consumer Goods
B8A704,North Navigation Control Tech Co. Ltd.,China,Industrials
C7D80A,United Malt Group Ltd.,Australia,Consumer Goods
789A7D,Ameren Corp.,United States,Utilities
694E5C,Mizuho Financial Group Inc.,Japan,Financials
4C1FA1,CVR Energy Inc.,United States,Energy
992CF2,Zhongtai Securities Co. Ltd.,China,Financials
395173,Adecco Group AG,Switzerland,Industrials
4C37C5,American Express Co.,United States,Financials
QTUAWT,Shanghai HIUV New Materials Co. Ltd.,China,Industrials
A4535A,Zhejiang Dahua Technology Co. Ltd.,China,Industrials
65FCFD,Coles Group Ltd.,Australia,Consumer Services
95F411,HMS Networks AB,Sweden,Telecommunications
4D72C8,Comstock Resources Inc.,United States,Energy
B547BE,Alm. Brand A/S,Denmark,Financials
6A6F44,Blink Charging Co.,United States,Consumer Services
228924,Albertsons Companies Inc.,United States,Consumer Services
EFBF0C,Caida Securities Co. Ltd.,China,Financials
524CE4,Integer Holdings Corp.,United States,Industrials
7QI9DN,First Citizens Group Financial Hldg Ltd.,Trinidad and Tobago,Financials
