RP_ENTITY_ID,ENTITY_NAME
5A124A,Arbitrum
A25816,Bitcoin
A2BF5C,BNB (BNB)
814C4F,Cardano (ADA)
3FAA8F,Dino
2070E1,Dogecoin
0A2CF4,Ethereum
683354,Hyperliquid
23B972,Litecoin
AB69E3,POL (ex-MATIC)
E28D84,Shiba Inu
BF05E7,Solana (SOL)
9D4B6F,Tether
6E1AEF,TRON
547BE3,XRP (XRP)
